City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Rawson,AR,70.65,overcast clouds,-43.3002,-65.1023,Hotel Deportivo
2,Atuona,PF,78.3,overcast clouds,-9.8,-139.0333,Pearl Resort
6,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti International Resort
7,Hambantota,LK,75.61,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
8,Gaoual,GN,80.08,overcast clouds,11.75,-13.2,Hotel
9,Rikitea,PF,76.96,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
17,Kavieng,PG,79.68,moderate rain,-2.5744,150.7967,Kavieng Hotel
27,Hithadhoo,MV,80.98,overcast clouds,-0.6,73.0833,Pebbles Inn
28,Hualmay,PE,75.38,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
35,Ambilobe,MG,76.15,overcast clouds,-13.2,49.05,Hôtel National
39,Rocha,UY,75.97,broken clouds,-34.4833,-54.3333,Hotel Municipal
41,Trincomalee,LK,78.49,overcast clouds,8.5711,81.2335,Silver Star Inn
43,Saint-philippe,RE,78.39,broken clouds,-21.3585,55.7679,Le Baril
44,Mar del plata,AR,81.82,clear sky,-38.0023,-57.5575,Nuevo Ostende
48,Mackay,AU,75.69,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
53,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
56,Maragogi,BR,79.84,clear sky,-9.0122,-35.2225,Pousada Mariluz
62,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Port Wine Guest House
63,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
65,Chuy,UY,73.45,scattered clouds,-33.6971,-53.4616,Alerces
71,Karratha,AU,75.87,clear sky,-20.7377,116.8463,Karratha International Hotel
76,Puerto ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
81,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
88,Atar,MR,74.32,clear sky,20.5169,-13.0499,فندق سكليل
90,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
93,Yulara,AU,78.12,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
98,Phan thiet,VN,71.69,few clouds,10.9333,108.1,Khách sạn Cà Ty
99,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
100,Lorengau,PG,79.43,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
114,Honiara,SB,78.64,few clouds,-9.4333,159.95,King Solomon Hotel
116,Guarapari,BR,72.9,light rain,-20.6667,-40.4975,Osmar Hotel
129,Miri,MY,79.16,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
131,Port augusta,AU,75.27,overcast clouds,-32.5,137.7667,Hotel Commonwealth
145,Bom jesus,BR,89.89,broken clouds,-9.0744,-44.3586,Hotel Brasão
150,Puerto madryn,AR,72.34,overcast clouds,-42.7692,-65.0385,Hotel Gran Palace
156,Cayenne,GF,78.84,moderate rain,4.9333,-52.3333,Central Hôtel
158,Alta floresta,BR,73.04,overcast clouds,-9.8756,-56.0861,Villas Hotel
176,Salinopolis,BR,81.97,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
195,Port hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
200,Cabano,PH,78.08,overcast clouds,10.5869,122.7002,The Clara Beach
202,Wau,SS,81.5,overcast clouds,7.7029,27.9953,Bahr Gazhal Hotel
205,Chimbote,PE,74.62,overcast clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
206,Anloga,GH,81.28,scattered clouds,5.7947,0.8973,Hotel de White House
207,Namatanai,PG,78.15,light rain,-3.6667,152.4333,Namatanai Hotel
213,Pathein,MM,71.1,overcast clouds,16.7833,94.7333,Taan Taan Ta
216,Padang,ID,76.59,scattered clouds,-0.9492,100.3543,losmen Surya
221,Bondoukou,CI,79.84,overcast clouds,8.0333,-2.8,Hotel Akakro
223,Nkhotakota,MW,77.76,overcast clouds,-12.9274,34.2961,Zayi Guest House
227,Sao filipe,CV,77.92,scattered clouds,14.8961,-24.4956,Bela Vista
228,Ponta do sol,PT,72.01,light rain,32.6667,-17.1,Estalagem Ponta do Sol
231,Agboville,CI,78.44,scattered clouds,5.928,-4.2132,Complexe Hôtelier Ofotel
232,Grand gaube,MU,77.38,broken clouds,-20.0064,57.6608,Coco Villa
238,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
239,Sao joao da barra,BR,73.49,moderate rain,-21.6403,-41.0511,Pousada Mediterrâneo
246,Celestun,MX,82.06,broken clouds,20.8667,-90.4,Hotel Flamingo Playa
