City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Rawson,AR,-43.3002,-65.1023,70.65,44,97,24.85,overcast clouds
1,Bambous virieux,MU,-20.3428,57.7575,77.22,83,40,6.91,light rain
2,Atuona,PF,-9.8,-139.0333,78.3,79,100,19.04,overcast clouds
3,Puerto leguizamo,CO,-0.1934,-74.7819,93.07,34,95,5.23,overcast clouds
4,Tessalit,ML,20.1986,1.0114,71.91,15,0,8.97,clear sky
5,Busselton,AU,-33.65,115.3333,65.8,55,0,9.26,clear sky
6,Vaini,TO,-21.2,-175.2,82.56,83,40,5.75,scattered clouds
7,Hambantota,LK,6.1241,81.1185,75.61,85,71,9.75,broken clouds
8,Gaoual,GN,11.75,-13.2,80.08,20,100,1.3,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,76.96,83,100,18.19,overcast clouds
10,Tobias barreto,BR,-11.1839,-37.9983,82.74,55,98,16.26,overcast clouds
11,Hermanus,ZA,-34.4187,19.2345,59.81,74,100,5.68,overcast clouds
12,Port elizabeth,ZA,-33.918,25.5701,65.1,87,75,13.8,broken clouds
13,Torbay,CA,47.6666,-52.7314,38.57,97,100,23.02,light rain
14,Los llanos de aridane,ES,28.6585,-17.9182,64.15,59,20,5.75,few clouds
15,Xining,CN,36.6167,101.7667,16.11,76,100,1.45,overcast clouds
16,Thompson,CA,55.7435,-97.8558,-9.24,64,100,9.22,overcast clouds
17,Kavieng,PG,-2.5744,150.7967,79.68,81,100,4.52,moderate rain
18,Punta arenas,CL,-53.15,-70.9167,64.51,36,0,17.27,clear sky
19,Upernavik,GL,72.7868,-56.1549,26.08,69,100,7.94,overcast clouds
20,Norton,ZW,-17.8833,30.7,64.09,82,100,1.88,overcast clouds
21,Severnyy-kospashskiy,RU,59.0925,57.8008,4.6,80,100,11.54,light snow
22,Urumqi,CN,43.801,87.6005,2.35,85,75,2.24,mist
23,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,40,4.61,scattered clouds
24,Kodiak,US,57.79,-152.4072,29.71,64,0,16.11,clear sky
25,Bluff,NZ,-46.6,168.3333,51.08,70,100,13.87,overcast clouds
26,Portland,US,45.5234,-122.6762,42.82,84,100,3.44,overcast clouds
27,Hithadhoo,MV,-0.6,73.0833,80.98,73,100,12.06,overcast clouds
28,Hualmay,PE,-11.0964,-77.6139,75.38,70,82,8.46,broken clouds
29,Ushuaia,AR,-54.8,-68.3,65.82,45,0,9.22,clear sky
30,Terrace,CA,54.5163,-128.6035,4.91,39,0,13.8,clear sky
31,Cape town,ZA,-33.9258,18.4232,67.1,66,20,11.5,few clouds
32,Tiksi,RU,71.6872,128.8694,-12.24,97,60,7.0,broken clouds
33,Bredasdorp,ZA,-34.5322,20.0403,63.7,70,57,5.84,broken clouds
34,Ostersund,SE,63.1792,14.6357,21.61,100,75,14.97,broken clouds
35,Ambilobe,MG,-13.2,49.05,76.15,87,97,2.71,overcast clouds
36,Kailua,US,21.4022,-157.7394,75.18,77,75,26.46,broken clouds
37,Jamestown,US,42.097,-79.2353,29.79,70,100,13.8,overcast clouds
38,Lebu,CL,-37.6167,-73.65,62.24,63,78,11.3,broken clouds
39,Rocha,UY,-34.4833,-54.3333,75.97,51,79,15.61,broken clouds
40,Qaanaaq,GL,77.484,-69.3632,2.98,90,84,2.71,broken clouds
